licencia_id,nombre_registro,categoria,habitaciones,plazas,origen_coordenada,metodo_cruce,similitud,distancia_m,nombre_raspado,precio,moneda,estrellas_raspadas,puntuacion,fichero_origen,ficha_compartida,dudoso
HB-000064,El Palace,Gran luxe,120,244,registro,coordenada,1.0,11.0,Hotel El Palace Barcelona,557.16,EUR,5.0,4.6,google_hotels_2026-09-29_eur.csv,True,True
HB-000066,Condado,3 estrelles,76,146,registro,coordenada,1.0,10.0,Hotel Condado,142.24,EUR,3.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000069,Vincci Mae,4 estrelles,85,170,registro,coordenada,1.0,9.0,Hotel Vincci Mae,217.28,EUR,4.0,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-000071,Cuatro Naciones,2 estrelles,54,106,registro,coordenada,1.0,11.0,Hotel Cuatro Naciones,,EUR,2.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000073,HOTEL ESPAÑA,4 estrelles,82,149,registro,nombre_cerca,0.5,8.0,Hotel España Ocean Drive,208.58,EUR,4.0,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-000078,Nouvel,3 estrelles,78,136,registro,coordenada,1.0,11.0,Hotel Nouvel,168.8,EUR,3.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-000080,Oriente Atiram Hotel,3 estrelles,142,270,registro,coordenada,0.8,10.0,Oriente Atiram Hotels Barcelona,163.33,EUR,3.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-000081,Palermo,No aplica,27,42,geocodificada,coordenada,1.0,3.0,Hotel Palermo Barcelona,121.31,EUR,1.0,3.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000082,Park Hotel,3 estrelles,91,157,registro,coordenada,1.0,3.0,Park Hotel Barcelona,166.54,EUR,3.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000085,Principal,3 estrelles,111,174,registro,sin_cruce,0.0,,,,,,,,False,False
HB-000087,Fontanella Green House,No aplica,11,20,geocodificada,coordenada,1.0,7.0,Fontanella Green House,138.6,EUR,2.0,3.9,google_hotels_2026-09-29_eur.csv,False,False
HB-000088,Lleó,3 estrelles,92,175,registro,coordenada,1.0,8.0,Hotel Lleó,168.09,EUR,3.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000089,HOSTAL LEVANTE,No aplica,48,85,geocodificada,coordenada,1.0,6.0,Hostal Levante,116.77,EUR,2.0,3.9,google_hotels_2026-09-29_eur.csv,False,False
HB-000090,Layetana,No aplica,20,32,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000094,Hostal Residencia Europa,No aplica,44,75,geocodificada,coordenada,0.7,4.0,Hostal Europa,144.0,EUR,1.0,3.8,google_hotels_2026-09-29_eur.csv,False,False
HB-000097,Residencia 45,No aplica,20,39,geocodificada,coordenada,0.61,10.0,Pensión 45,79.45,EUR,1.0,3.1,google_hotels_2026-09-29_eur.csv,False,False
HB-000098,Via Augusta,2 estrelles,87,137,registro,coordenada,1.0,5.0,Hotel Via Augusta,146.83,EUR,2.0,4.3,google_hotels_2026-09-29_eur.csv,True,True
HB-000101,California,3 estrelles,29,47,registro,coordenada,0.62,6.0,Hotel California Barcelona 3 estrellas,200.96,EUR,3.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000114,Prisma,2 estrelles,48,70,registro,sin_cruce,0.0,,,,,,,,False,False
HB-000157,Hostal Oliva,No aplica,16,26,geocodificada,nombre,0.87,,Hostal Nova Barcelona,97.18,EUR,2.0,4.4,google_hotels_2026-09-29_eur.csv,True,True
HB-000241,Antibes,2 estrelles,69,137,registro,coordenada,0.74,12.0,Acta Antibes,158.95,EUR,2.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000317,HCC Hotel Taber,3 estrelles,92,169,registro,coordenada,1.0,5.0,Hotel HCC Taber,179.63,EUR,3.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000319,Cortes,2 estrelles,44,72,registro,coordenada,1.0,1.0,Hotel Cortes,154.62,EUR,3.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000320,Goya,No aplica,12,21,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000328,Hostal El Putxet,No aplica,18,24,registro,coordenada,0.72,8.0,Hostal Putxet by gaiarooms,117.32,EUR,2.0,2.7,google_hotels_2026-09-29_eur.csv,False,False
HB-000329,Hesperia Barri Gòtic,3 estrelles,71,115,registro,coordenada,1.0,8.0,Hotel Hesperia Barcelona Barri Gòtic,190.79,EUR,3.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000362,Lima,No aplica,4,6,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000371,jaume I,1 estrella,39,67,registro,coordenada,1.0,2.0,Hotel Jaume I,,EUR,1.0,3.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000372,Eurostars Cristal Palace,4 estrelles,148,250,registro,sin_cruce,0.0,,,,,,,,False,False
HB-000386,Zènit Barcelona,4 estrelles,71,118,registro,nombre_exacto,1.0,,Zenit Barcelona,201.0,,,8.4,booking_unificados_2026-09-29.csv,False,False
HB-000439,Ciudad Condal,No aplica,14,22,geocodificada,coordenada,0.79,8.0,Ciudad Condal Hostal,151.88,EUR,3.0,3.8,google_hotels_2026-09-29_eur.csv,True,True
HB-000443,Lourdes,No aplica,27,47,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000446,Casa Pince,2 estrelles,38,70,registro,coordenada,1.0,1.0,Casa Pince,166.25,EUR,3.0,4.8,google_hotels_2026-09-29_eur.csv,False,False
HB-000448,Lirio,No aplica,21,31,geocodificada,nombre_cerca,0.33,20.0,Casa Lirio by Blossom Hotels,131.31,EUR,2.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000454,Barcelona Center Inn,No aplica,13,23,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000456,Capitol,No aplica,11,20,geocodificada,nombre_unico,0.48,,Hostal Capitol Ramblas,100.45,EUR,2.0,3.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000457,SOM NIT PORT VELL,No aplica,10,20,geocodificada,coordenada,1.0,1.0,Som Nit Port Vell,148.64,EUR,4.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000467,Palmera,No aplica,20,33,geocodificada,coordenada,0.67,1.0,Hostal La Palmera,122.99,EUR,2.0,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-000478,Turisol,No aplica,17,27,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000480,Toledano,1 estrella,17,30,registro,coordenada,0.67,15.0,Hotel Toledano Ramblas,114.24,EUR,1.0,3.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000485,Outsite Barcelona,No aplica,18,31,geocodificada,coordenada,1.0,7.0,Outsite Barcelona,191.98,EUR,,4.8,google_hotels_2026-09-29_eur.csv,False,False
HB-000488,Sense especificar,2 estrelles,52,80,registro,sin_cruce,0.0,,,,,,,,False,False
HB-000491,Bienestar,No aplica,16,26,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000495,Santa Marta,2 estrelles,47,108,registro,coordenada,1.0,1.0,Hotel Santa Marta,,EUR,2.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000502,Hostal Ruta de Francia,No aplica,13,17,geocodificada,coordenada,1.0,1.0,Hostal Ruta de Francia,135.0,EUR,2.0,3.8,google_hotels_2026-09-29_eur.csv,True,True
HB-000508,Hostal Rembrandt,No aplica,27,42,geocodificada,coordenada,1.0,17.0,Hostal Rembrandt,,EUR,2.0,,google_hotels_2026-09-29_eur.csv,False,False
HB-000516,som nit triomf,No aplica,11,20,geocodificada,coordenada,1.0,10.0,Som Nit Triomf,168.81,EUR,,4.0,google_hotels_2026-09-29_eur.csv,True,True
HB-000701,GAT RAVAL,No aplica,24,41,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000723,Orleans,No aplica,17,34,geocodificada,coordenada,0.67,5.0,Hostal Orleans,,EUR,2.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000739,Portugal,No aplica,16,23,geocodificada,coordenada,0.7,6.0,Hostal Portugal,,EUR,1.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000776,Boutique Barcelona,No aplica,6,12,geocodificada,coordenada,0.76,10.0,Casa Boutique,195.92,EUR,3.0,3.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000782,Hostal BCN Ramblas,No aplica,11,18,geocodificada,nombre_exacto,1.0,,Hostal BCN Ramblas,101.67,EUR,2.0,3.4,google_hotels_2026-09-29_eur.csv,True,True
HB-000801,Hostal Central Barcelona,No aplica,11,18,geocodificada,coordenada,1.0,13.0,Hostal Central Barcelona,181.81,EUR,2.0,4.0,google_hotels_2026-09-29_eur.csv,True,True
HB-000838,Aribau,No aplica,3,6,geocodificada,nombre_unico,0.67,,Rooms Aribau,66.28,EUR,3.0,3.9,google_hotels_2026-09-29_eur.csv,False,False
HB-000839,Hotel Everest,2 estrelles,17,34,registro,coordenada,1.0,11.0,Hotel Everest,116.99,EUR,1.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000845,Hostal Santcarlo,No aplica,8,13,geocodificada,coordenada,0.97,5.0,Hostal Sant Carlo,98.18,EUR,1.0,2.9,google_hotels_2026-09-29_eur.csv,False,False
HB-000855,Amílcar,1 estrella,49,85,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000859,Lyon,1 estrella,15,19,registro,coordenada,1.0,11.0,Hotel Lyon,103.67,EUR,1.0,3.6,google_hotels_2026-09-29_eur.csv,False,False
HB-000862,Norma,No aplica,18,27,geocodificada,coordenada,0.59,2.0,Pensió Norma,,EUR,1.0,3.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000899,Parisien,No aplica,13,20,geocodificada,nombre_unico,0.7,,Hostal Parisien,155.68,EUR,2.0,3.5,google_hotels_2026-09-29_eur.csv,False,False
HB-000935,Mimi Las Ramblas,No aplica,7,10,geocodificada,coordenada,0.77,18.0,Hostal MiMi Las Ramblas,76.5,EUR,1.0,2.5,google_hotels_2026-09-29_eur.csv,False,False
HB-000947,Annex,1 estrella,8,12,registro,coordenada,1.0,9.0,Hotel Annex,,EUR,1.0,3.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000952,Girona,No aplica,9,13,geocodificada,coordenada,0.63,6.0,Hostal Girona,170.47,EUR,2.0,4.4,google_hotels_2026-09-29_eur.csv,True,True
HB-000957,VAGANTO HOTEL S.L.,No aplica,18,23,geocodificada,coordenada,0.61,8.0,Casa Vaganto,200.91,EUR,2.0,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-000975,Fernando,No aplica,38,55,geocodificada,coordenada,0.7,4.0,Hostal Fernando,161.88,EUR,2.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-001122,Call,1 estrella,25,49,registro,coordenada,1.0,3.0,Hotel El Call,145.4,EUR,1.0,3.6,google_hotels_2026-09-29_eur.csv,False,False
HB-001130,Hostal Razio Central Station BCN,No aplica,11,18,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001131,Albi,No aplica,11,16,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001135,Bresus,No aplica,7,12,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001137,Canaletas,No aplica,8,12,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001187,Cerdanya Pensió,No aplica,7,12,geocodificada,nombre_cerca,0.53,9.0,Pensió Cerdanya,,EUR,2.0,4.7,google_hotels_2026-09-29_eur.csv,False,False
HB-001199,Colmenero,No aplica,7,9,geocodificada,coordenada,1.0,2.0,Colmenero,,EUR,1.0,3.3,google_hotels_2026-09-29_eur.csv,False,False
HB-001206,Villanueva,No aplica,29,44,geocodificada,coordenada,0.74,3.0,Pensió Villanueva,121.86,EUR,2.0,3.3,google_hotels_2026-09-29_eur.csv,False,False
HB-001213,RAVAL HOUSE,3 estrelles,55,100,registro,coordenada,1.0,19.0,Hotel Raval House,164.18,EUR,3.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-001216,Solarium,No aplica,17,33,geocodificada,nombre_cerca,0.53,1.0,Central and Basic Solarium,82.77,EUR,1.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-001219,Gótico,4 estrelles,81,149,registro,coordenada,0.91,9.0,Hotel Gòtic,193.08,EUR,4.0,4.2,google_hotels_2026-09-29_eur.csv,True,True
HB-001276,Coral,No aplica,25,36,geocodificada,coordenada,0.56,16.0,Pensión Coral,104.73,EUR,2.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-001278,Sol y K,No aplica,14,24,geocodificada,coordenada,1.0,3.0,Sol y K,154.55,EUR,2.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-001579,PENSION AROSA,No aplica,7,10,geocodificada,coordenada,1.0,4.0,PENSION AROSA - BARCELONA,89.09,EUR,2.0,3.1,google_hotels_2026-09-29_eur.csv,False,False
HB-001619,Noya,No aplica,8,15,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001620,Ciudadela,No aplica,6,11,geocodificada,coordenada,0.69,3.0,Pensión Ciudadela,,EUR,4.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-001665,Hostal Eixample,No aplica,8,14,geocodificada,coordenada,1.0,15.0,Hostal Eixample Barcelona,131.81,EUR,2.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-001678,Benidorm,No aplica,44,68,geocodificada,nombre_unico,0.7,,Hostal Benidorm,142.32,EUR,2.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-001690,El Puchi Barcelona,No aplica,12,20,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001705,Venècia,No aplica,15,18,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001709,Francia,No aplica,11,20,,nombre_unico,0.54,,Hostal Ruta de Francia,135.0,EUR,2.0,3.8,google_hotels_2026-09-29_eur.csv,True,True
HB-001747,Hostal Mont Thabor,No aplica,12,19,geocodificada,nombre_unico,0.61,,Mont Thabor Hostal,81.82,EUR,2.0,2.8,google_hotels_2026-09-29_eur.csv,False,False
HB-001748,Picasso,No aplica,16,24,geocodificada,nombre_exacto,1.0,,Picasso,171.18,EUR,,4.3732657,google_hotels_2026-09-29_eur.csv,False,False
HB-001755,Nuevo Colón,No aplica,24,42,geocodificada,coordenada,0.76,1.0,Hostal Nuevo Colón,119.49,EUR,1.0,3.8,google_hotels_2026-09-29_eur.csv,False,False
HB-001821,Hostal Ambos Mundos,No aplica,13,23,geocodificada,coordenada,1.0,6.0,Hostal Ambos Mundos,171.85,EUR,,4.8,google_hotels_2026-09-29_eur.csv,False,False
HB-001847,Santo Domingo,No aplica,16,22,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001855,HOTEL LA PAU,No aplica,42,65,registro,sin_cruce,0.0,,,,,,,,False,False
HB-001862,Las Flores,No aplica,15,19,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001883,Hostal Apolo,No aplica,20,32,geocodificada,coordenada,1.0,3.0,Hostal Apolo,,EUR,2.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-001911,Hesperia Presidente,4 estrelles,156,301,registro,coordenada,1.0,7.0,Hotel Hesperia Presidente Barcelona,239.34,EUR,4.0,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-001927,Gaudí,3 estrelles,73,136,registro,coordenada,1.0,3.0,Hotel Gaudí,228.8,EUR,4.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-001931,Palacio,No aplica,9,12,geocodificada,coordenada,0.64,3.0,Pensión Palacio,,EUR,1.0,3.4,google_hotels_2026-09-29_eur.csv,False,False
HB-001934,Royal,4 estrelles,119,226,registro,coordenada,0.56,9.0,Royal Ramblas Hotel,200.88,EUR,4.0,4.3,google_hotels_2026-09-29_eur.csv,True,True
HB-001950,CASA TRAFALGAR,1 estrella,18,31,registro,coordenada,1.0,8.0,Hotel Casa Trafalgar,199.63,EUR,2.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-001951,Chic  Basic Tallers,No aplica,14,25,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-001969,NH Barcelona Stadium,4 estrelles,106,185,registro,coordenada,1.0,12.0,Hotel NH Barcelona Stadium,183.89,EUR,4.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-002004,Dani,No aplica,7,9,geocodificada,nombre_cerca,0.53,3.0,Hostal Dani,,EUR,1.0,2.4,google_hotels_2026-09-29_eur.csv,False,False
HB-002007,Best Western Premier Hotel Dante,4 estrelles,81,144,registro,coordenada,1.0,5.0,Best Western Premier Hotel Dante,204.77,EUR,4.0,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-002040,Hostal Felipe II,No aplica,11,17,geocodificada,coordenada,0.9,10.0,Hostal Felipe 2,73.37,EUR,2.0,3.7,google_hotels_2026-09-29_eur.csv,True,True
HB-002043,Travesera,2 estrelles,16,22,registro,coordenada,0.95,13.0,Hotel Travessera,164.84,EUR,2.0,3.9,google_hotels_2026-09-29_eur.csv,False,False
HB-002044,Casa de Barca,No aplica,7,9,geocodificada,coordenada,0.71,4.0,Pensión Casa de Barca,96.02,EUR,2.0,3.7,google_hotels_2026-09-29_eur.csv,False,False
HB-002057,HCC Hotel Regente,4 estrelles,78,143,registro,coordenada,1.0,1.0,Hotel HCC Regente,,EUR,4.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-002059,NH Collection Gran Hotel Calderón,5 estrelles,255,503,registro,coordenada,1.0,10.0,Hotel NH Collection Barcelona Gran Hotel Calderón,324.72,EUR,5.0,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-002097,HOSTAL FINA,No aplica,19,27,geocodificada,coordenada,1.0,10.0,Hostal Fina,,EUR,2.0,4.0,google_hotels_2026-09-29_eur.csv,True,True
HB-002108,Alamar,No aplica,13,15,geocodificada,coordenada,0.63,7.0,Pensió Alamar,,EUR,1.0,3.9,google_hotels_2026-09-29_eur.csv,False,False
HB-002151,HOSTAL SANTA ANNA,No aplica,15,24,geocodificada,coordenada,0.97,2.0,Hostal Santa Ana,85.0,EUR,1.0,3.3,google_hotels_2026-09-29_eur.csv,False,False
HB-002161,Pensió Bertolin,No aplica,5,10,geocodificada,coordenada,0.97,2.0,Pensión Bertolín,,EUR,4.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-002211,Hosteria Grau,No aplica,18,35,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-002223,Triunfo,1 estrella,16,28,registro,sin_cruce,0.0,,,,,,,,False,False
HB-002253,Aneto,1 estrella,16,28,registro,sin_cruce,0.0,,,,,,,,False,False
HB-002279,Oasis,2 estrelles,94,141,registro,nombre_cerca,0.4,3.0,Hotel en Barcelona | Hotel cerca de playa | HOTEL OASIS,140.43,EUR,2.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-002282,La Calma,No aplica,8,14,geocodificada,nombre_cerca,0.45,1.0,CALMA HOUSE Rooms,,EUR,,3.5,google_hotels_2026-09-29_eur.csv,False,False
HB-002357,Hostal Lesseps,No aplica,15,25,geocodificada,coordenada,1.0,1.0,Hostal Lesseps,113.17,EUR,2.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-002395,Ginebra,1 estrella,10,19,registro,coordenada,1.0,12.0,Hotel Ginebra,169.4,EUR,1.0,4.2,google_hotels_2026-09-29_eur.csv,True,True
HB-002406,Nitzs BCN,No aplica,12,17,geocodificada,coordenada,0.59,12.0,Hostal Nitzs Bcn,107.95,EUR,1.0,3.9,google_hotels_2026-09-29_eur.csv,False,False
HB-002460,Wilson Boutique,4 estrelles,52,95,registro,coordenada,1.0,7.0,Wilson Boutique Hotel,199.5,EUR,4.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-002491,Hostal Sans,No aplica,85,144,geocodificada,coordenada,1.0,4.0,Hostal Sans,99.98,EUR,3.0,3.9,google_hotels_2026-09-29_eur.csv,False,False
HB-002532,Turín,3 estrelles,60,100,registro,nombre_exacto,1.0,,Hotel Turin Barcelona,256.5,,,8.6,booking_unificados_2026-09-29.csv,False,False
HB-002600,Lleida,No aplica,14,16,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-002606,Balmoral,4 estrelles,103,196,registro,coordenada,1.0,3.0,Hotel Balmoral,,EUR,4.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-002608,Alberdi,No aplica,14,16,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-002619,Lausanne,No aplica,17,24,geocodificada,coordenada,0.7,1.0,Hostal Lausanne,106.13,EUR,2.0,3.5,google_hotels_2026-09-29_eur.csv,False,False
HB-002644,Marina Folch,1 estrella,10,19,registro,coordenada,0.86,27.0,MARINA FOLCH S.L.,,EUR,1.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-002662,Hostal La Terrassa,No aplica,42,64,geocodificada,coordenada,1.0,5.0,Hostal La Terrassa,113.63,EUR,3.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-002694,Hostal Cèntric,No aplica,24,52,geocodificada,coordenada,1.0,2.0,Hostal Cèntric,199.0,EUR,4.0,4.6,google_hotels_2026-09-29_eur.csv,False,False
HB-002714,Hamsa House Hotel,No aplica,29,39,geocodificada,coordenada,1.0,15.0,Hamsa House,269.51,EUR,,4.5,google_hotels_2026-09-29_eur.csv,False,False
HB-002721,Hostal Hill,No aplica,8,12,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-002726,Del Mar,3 estrelles,72,142,registro,coordenada,1.0,12.0,Hotel del Mar,142.85,EUR,3.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-002733,U232,4 estrelles,102,186,registro,coordenada,1.0,14.0,U232 Hotel,155.43,EUR,4.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-002741,Teruel,No aplica,8,13,geocodificada,coordenada,0.6,1.0,Pensión Teruel,81.82,EUR,1.0,2.6,google_hotels_2026-09-29_eur.csv,False,False
HB-002775,Hostal Barcelona,No aplica,58,72,geocodificada,coordenada,1.0,2.0,Hostal Barcelona,92.89,EUR,2.0,3.4,google_hotels_2026-09-29_eur.csv,False,False
HB-002794,Derby,4 estrelles,117,212,registro,coordenada,0.83,9.0,Derby Hotel 4,162.15,EUR,4.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-002816,Cantón,1 estrella,47,80,registro,coordenada,1.0,9.0,Hotel Cantón,110.45,EUR,1.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-002835,Laforja,No aplica,4,7,geocodificada,sin_cruce,0.0,,,,,,,,False,False
